Sample	QualiMap_mqc-generalstats-qualimap-avg_gc	QualiMap_mqc-generalstats-qualimap-median_insert_size	QualiMap_mqc-generalstats-qualimap-1_x_pc	QualiMap_mqc-generalstats-qualimap-5_x_pc	QualiMap_mqc-generalstats-qualimap-10_x_pc	QualiMap_mqc-generalstats-qualimap-30_x_pc	QualiMap_mqc-generalstats-qualimap-50_x_pc	QualiMap_mqc-generalstats-qualimap-median_coverage	QualiMap_mqc-generalstats-qualimap-mean_coverage	QualiMap_mqc-generalstats-qualimap-percentage_aligned	QualiMap_mqc-generalstats-qualimap-mapped_reads	QualiMap_mqc-generalstats-qualimap-total_reads	QualiMap_mqc-generalstats-qualimap-general_error_rate
1004_2P	33.169844326908645	382	98.21863856048647	98.20481984326024	98.19476037404517	98.18428321060665	98.1763122125089	145					
1004_2P_.s									143.2552	96.74604989510877	3312607.0	3424023.0	0.12
1004_3I	33.203281702220714	418	98.25048774502552	98.20266175643901	98.1955957624921	98.18376109282733	98.16482562136366	102					
1004_3I_.s									101.4617	96.85435963070039	2341397.0	2417441.0	0.16999999999999998
1004_3P	33.2108644838776	280	98.21759432492782	98.20544638459543	98.19980751257869	98.1899916983273	98.18282128082453	195					
1004_3P_.s									192.4641	97.01404171132853	4452084.0	4589113.0	0.08
1004_5N	33.23030259420715	301	98.23458055668198	98.20029482250607	98.19455152693345	98.18880823136082	98.18083723326308	175					
1004_5N_.s									173.4232	96.82419293419956	4007259.0	4138696.0	0.09
1007_5P	33.2581164107382	254	99.53280901105671	99.50920928743106	99.50722523986961	99.50374445467409	99.50127309718526	166					
1007_5P_.s									166.7577	95.32157973388291	3864843.0	4054531.0	0.1
1007_6C	33.18990131187825	280	99.98757359685197	99.98694705551678	99.98649455344136	99.98461492943578	99.98252645831846	174					
1007_6C_.s									174.9075	95.70312287499489	4046262.0	4227931.0	0.1
1032_3P	33.17643783416256	246	98.26106933201991	98.20471541970437	98.19918097124349	98.18946958054798	98.18400474779101	185					
1032_3P_.s									183.0135	97.04014461814744	4242927.0	4372342.0	0.09
1041_3N	33.147677024307384	364	99.98729513403633	99.98645974558941	99.986007243514	99.98308338394975	99.97716604911736	121					
1041_3N_.s									121.4547	98.91796673071225	2797592.0	2828194.0	0.13
1041_3P	33.14362393122778	315	99.9873995575922	99.98698186336874	99.98663378484919	99.98558954929052	99.98458012158383	268					
1041_3P_.s									269.2306	99.078307002694	6228963.0	6286909.0	0.1
1046_4N	33.1286843454621	294	99.58108750171864	99.50875678535564	99.50826947542826	99.50712081631374	99.50499753734448	179					
1046_4N_.s									179.1448	97.93332694317134	4137923.0	4225245.0	0.09
1054_3N	33.204620954737024	222	99.51063640936123	99.50913967172716	99.50802582046458	99.50461465097297	99.39893801243684	213					
1054_3N_.s									211.2928	97.844201251038	4927569.0	5036138.0	0.06999999999999999
1056_4I	33.171990010355124	224	98.22525205235797	98.15612365837485	98.15184229258436	98.14463706722962	98.13715337905924	288					
1056_4I_.s									284.5353	98.26806994703131	6666328.0	6783819.0	0.06999999999999999
1078_3O	33.125291645244	284	99.92070771324596	99.91426826063423	99.91259748374038	99.90598399186888	99.90406956001135	203					
1078_3O_.s									204.2955	97.0041252284775	4722252.0	4868094.0	0.09
1122_1O	33.41161960174858	325	94.12732364166709	93.71373674473487	93.6504908777322	93.53433707575755	93.45274747077445	352					
1122_1O_.s									336.1632	95.25120862082672	7836456.0	8227146.0	0.89
1133_2P	33.20386386368349	262	95.01990138935541	94.55977639435903	94.55681772694284	94.54010995800432	94.52221872209932	201					
1133_2P_.s									192.3481	98.02463867469824	4465533.0	4555521.0	0.11
1134_5I	33.1588375780359	269	99.98781725181567	99.98715590262852	99.9870166712207	99.98423204306428	99.98144741490785	174					
1134_5I_.s									174.4384	95.65528616781654	4044999.0	4228725.0	0.1
1142_2N	33.37338660794913	310	92.96585523762451	92.66424520043232	92.59699643045478	92.46117619212542	92.36305285746359	294					
1142_2N_.s									280.2139	95.34602464650239	6542710.0	6862069.0	0.8999999999999999
1149_6C	33.10295431367744	314	99.50927890313497	99.50893082461542	99.50844351468804	99.50757331838916	99.50687716135006	263					
1149_6C_.s									263.1111	97.82400481114858	6077060.0	6212238.0	0.09
