Sample	bam_file	total_reads	mapped_reads	mapped_bases	sequenced_bases	mean_insert_size	median_insert_size	mean_mapping_quality	general_error_rate	mean_coverage	percentage_aligned
1004_2P_.s	1004_2P_.s.bam	3424023.0	3312607.0	411560069.0	411542502.0	1106.3311	382.0	58.4339	0.0012	143.2552	96.74604989510877
1004_3I_.s	1004_3I_.s.bam	2417441.0	2341397.0	291490935.0	291478420.0	1125.8867	418.0	58.8709	0.0017	101.4617	96.85435963070039
1004_3P_.s	1004_3P_.s.bam	4589113.0	4452084.0	552932959.0	552908482.0	765.9188	281.0	58.525	0.0008	192.4641	97.01404171132853
1004_5N_.s	1004_5N_.s.bam	4138696.0	4007259.0	498230250.0	498208891.0	811.4515	302.0	58.5312	0.0009	173.4232	96.82419293419956
1007_5P_.s	1007_5P_.s.bam	4054531.0	3864843.0	479080564.0	479060297.0	710.5197	254.0	59.2101	0.001	166.7577	95.32157973388291
1007_6C_.s	1007_6C_.s.bam	4227931.0	4046262.0	502494350.0	502470678.0	732.8999	281.0	59.251	0.001	174.9075	95.70312287499489
1032_3P_.s	1032_3P_.s.bam	4372342.0	4242927.0	525782345.0	525759398.0	669.0926	246.0	58.9963	0.0009	183.0135	97.04014461814744
1041_3N_.s	1041_3N_.s.bam	2828194.0	2797592.0	348929057.0	348914533.0	999.0882	364.0	59.3316	0.0013	121.4547	98.91796673071225
1041_3P_.s	1041_3P_.s.bam	6286909.0	6228963.0	773476760.0	773443136.0	845.2443	316.0	59.3209	0.001	269.2306	99.078307002694
1046_4N_.s	1046_4N_.s.bam	4225245.0	4137923.0	514667801.0	514646775.0	746.4015	294.0	59.2968	0.0009	179.1448	97.93332694317134
1054_3N_.s	1054_3N_.s.bam	5036138.0	4927569.0	607026177.0	607001623.0	600.5843	223.0	59.0845	0.0007	211.2928	97.844201251038
1056_4I_.s	1056_4I_.s.bam	6783819.0	6666328.0	817445831.0	817409362.0	573.2659	225.0	58.9813	0.0007	284.5353	98.26806994703131
1078_3O_.s	1078_3O_.s.bam	4868094.0	4722252.0	586923465.0	586892586.0	789.0258	284.0	59.2753	0.0009	204.2955	97.0041252284775
1122_1O_.s	1122_1O_.s.bam	8227146.0	7836456.0	965768427.0	965503358.0	6204.5933	326.0	58.4824	0.0089	336.1632	95.25120862082672
1133_2P_.s	1133_2P_.s.bam	4555521.0	4465533.0	552599633.0	552565993.0	1073.6245	262.0	59.1851	0.0011	192.3481	98.02463867469824
1134_5I_.s	1134_5I_.s.bam	4228725.0	4044999.0	501146710.0	501122213.0	720.2685	270.0	59.2846	0.001	174.4384	95.65528616781654
1142_2N_.s	1142_2N_.s.bam	6862069.0	6542710.0	805030788.0	804822490.0	6072.6749	311.0	58.5779	0.009	280.2139	95.34602464650239
1149_6C_.s	1149_6C_.s.bam	6212238.0	6077060.0	755895763.0	755866131.0	858.0075	314.0	59.158	0.0009	263.1111	97.82400481114858
