Module	Section	Sample Name	Source
QualiMap	genome_results	1004_3P_.s	/n/holylfs05/LABS/hanage_lab/Lab/holyscratch01/madikay/Training/qualimap/1004_3P_/genome_results.txt
QualiMap	genome_results	1149_6C_.s	/n/holylfs05/LABS/hanage_lab/Lab/holyscratch01/madikay/Training/qualimap/1149_6C_/genome_results.txt
QualiMap	genome_results	1004_5N_.s	/n/holylfs05/LABS/hanage_lab/Lab/holyscratch01/madikay/Training/qualimap/1004_5N_/genome_results.txt
QualiMap	genome_results	1142_2N_.s	/n/holylfs05/LABS/hanage_lab/Lab/holyscratch01/madikay/Training/qualimap/1142_2N_/genome_results.txt
QualiMap	genome_results	1122_1O_.s	/n/holylfs05/LABS/hanage_lab/Lab/holyscratch01/madikay/Training/qualimap/1122_1O_/genome_results.txt
QualiMap	genome_results	1054_3N_.s	/n/holylfs05/LABS/hanage_lab/Lab/holyscratch01/madikay/Training/qualimap/1054_3N_/genome_results.txt
QualiMap	genome_results	1007_6C_.s	/n/holylfs05/LABS/hanage_lab/Lab/holyscratch01/madikay/Training/qualimap/1007_6C_/genome_results.txt
QualiMap	genome_results	1004_2P_.s	/n/holylfs05/LABS/hanage_lab/Lab/holyscratch01/madikay/Training/qualimap/1004_2P_/genome_results.txt
QualiMap	genome_results	1046_4N_.s	/n/holylfs05/LABS/hanage_lab/Lab/holyscratch01/madikay/Training/qualimap/1046_4N_/genome_results.txt
QualiMap	genome_results	1078_3O_.s	/n/holylfs05/LABS/hanage_lab/Lab/holyscratch01/madikay/Training/qualimap/1078_3O_/genome_results.txt
QualiMap	genome_results	1007_5P_.s	/n/holylfs05/LABS/hanage_lab/Lab/holyscratch01/madikay/Training/qualimap/1007_5P_/genome_results.txt
QualiMap	genome_results	1004_3I_.s	/n/holylfs05/LABS/hanage_lab/Lab/holyscratch01/madikay/Training/qualimap/1004_3I_/genome_results.txt
QualiMap	genome_results	1041_3P_.s	/n/holylfs05/LABS/hanage_lab/Lab/holyscratch01/madikay/Training/qualimap/1041_3P_/genome_results.txt
